Title,ParkType,Bookmark,
Annual Park Ranking Report for Recreation Visits in: 2017,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"16,093,765",4.86%
Golden Gate NRA,2,"14,981,897",4.53%
Great Smoky Mountains NP,3,"11,338,893",3.43%
Gateway NRA,4,"9,190,610",2.78%
Lincoln Memorial,5,"7,956,117",2.40%
Lake Mead NRA,6,"7,882,339",2.38%
George Washington MEM PKWY,7,"7,562,793",2.29%
Natchez Trace PKWY,8,"6,326,062",1.91%
Grand Canyon NP,9,"6,254,238",1.89%
Vietnam Veterans MEM,10,"5,072,589",1.53%
World War II Memorial,11,"4,876,842",1.47%
Chesapeake & Ohio Canal NHP,12,"4,859,573",1.47%
Independence NHP,13,"4,790,758",1.45%
Castle Clinton NM,14,"4,737,113",1.43%
Glen Canyon NRA,15,"4,574,940",1.38%
Zion NP,16,"4,504,812",1.36%
San Francisco Maritime NHP,17,"4,493,519",1.36%
Statue of Liberty NM,18,"4,441,988",1.34%
Rocky Mountain NP,19,"4,437,215",1.34%
Yosemite NP,20,"4,336,890",1.31%
Korean War Veterans Memorial,21,"4,155,947",1.26%
Cape Cod NS,22,"4,125,418",1.25%
Yellowstone NP,23,"4,116,524",1.24%
Gulf Islands NS,24,"3,952,941",1.19%
"Martin Luther King, Jr. Memorial",25,"3,651,093",1.10%
Acadia NP,26,"3,509,271",1.06%
Franklin Delano Roosevelt MEM,27,"3,507,402",1.06%
Boston NHP,28,"3,425,606",1.04%
Olympic NP,29,"3,401,996",1.03%
Delaware Water Gap NRA,30,"3,400,944",1.03%
Thomas Jefferson MEM,31,"3,366,571",1.02%
Colonial NHP,32,"3,333,448",1.01%
Grand Teton NP,33,"3,317,000",1.00%
Glacier NP,34,"3,305,512",1.00%
Joshua Tree NP,35,"2,853,619",0.86%
Chattahoochee River NRA,36,"2,768,499",0.84%
Kennesaw Mountain NBP,37,"2,593,725",0.78%
Bryce Canyon NP,38,"2,571,684",0.78%
Rock Creek Park,39,"2,483,788",0.75%
Point Reyes NS,40,"2,456,669",0.74%
Mount Rushmore NMEM,41,"2,437,800",0.74%
Cape Hatteras NS,42,"2,433,703",0.74%
Assateague Island NS,43,"2,347,167",0.71%
Cuyahoga Valley NP,44,"2,226,879",0.67%
Valley Forge NHP,45,"2,159,592",0.65%
Indiana Dunes NP,46,"2,158,471",0.65%
Hawaii Volcanoes NP,47,"2,016,702",0.61%
Pearl Harbor NMEM,48,"1,947,495",0.59%
National Capital Parks Central,49,"1,932,762",0.58%
Sleeping Bear Dunes NL,50,"1,678,126",0.51%
Canaveral NS,51,"1,598,586",0.48%
Hot Springs NP,52,"1,561,616",0.47%
Arches NP,53,"1,539,028",0.47%
Chickasaw NRA,54,"1,533,684",0.46%
Fort Point NHS,55,"1,532,541",0.46%
President's Park,56,"1,477,913",0.45%
Buffalo NR,57,"1,471,330",0.44%
Shenandoah NP,58,"1,458,874",0.44%
"John D. Rockefeller, Jr. MEM PKWY",59,"1,433,292",0.43%
Mount Rainier NP,60,"1,415,867",0.43%
Gateway Arch NP,61,"1,398,188",0.42%
San Antonio Missions NHP,62,"1,381,383",0.42%
National Capital Parks East,63,"1,366,142",0.41%
Lake Meredith NRA,64,"1,329,076",0.40%
Lake Roosevelt NRA,65,"1,304,403",0.39%
Death Valley NP,66,"1,294,827",0.39%
Sequoia NP,67,"1,291,256",0.39%
Amistad NRA,68,"1,221,635",0.37%
Timucuan EHP,69,"1,218,306",0.37%
San Juan NHS,70,"1,188,780",0.36%
New River Gorge NR,71,"1,168,658",0.35%
Ozark NSR,72,"1,165,296",0.35%
Capitol Reef NP,73,"1,150,165",0.35%
Haleakala NP,74,"1,112,390",0.34%
Fort Vancouver NHS,75,"1,081,489",0.33%
Muir Woods NM,76,"1,062,099",0.32%
Badlands NP,77,"1,054,325",0.32%
Curecanti NRA,78,"1,041,446",0.31%
Gettysburg NMP,79,"1,038,649",0.31%
Minute Man NHP,80,"1,023,921",0.31%
Everglades NP,81,"1,018,557",0.31%
Cabrillo NM,82,"997,903",0.30%
Chickamauga & Chattanooga NMP,83,"994,537",0.30%
Saguaro NP,84,"964,760",0.29%
Big Cypress NPRES,85,"922,883",0.28%
Fredericksburg & Spotsylvania NMP,86,"919,311",0.28%
Cedar Breaks NM,87,"909,199",0.27%
Klondike Gold Rush NHP Alaska,88,"906,485",0.27%
Santa Monica Mountains NRA,89,"897,593",0.27%
Fort Sumter and Fort Moultrie NHP,90,"896,569",0.27%
Castillo de San Marcos NM,91,"876,975",0.27%
Whiskeytown NRA,92,"832,063",0.25%
Canyon de Chelly NM,93,"825,660",0.25%
Pictured Rocks NL,94,"781,190",0.24%
Saint Croix NSR,95,"772,475",0.23%
Big South Fork NRRA,96,"761,200",0.23%
Ross Lake NRA,97,"759,656",0.23%
Ford's Theatre NHS,98,"744,266",0.22%
Canyonlands NP,99,"742,271",0.22%
Cumberland Gap NHP,100,"737,547",0.22%
Arlington House The R.E. Lee MEM,101,"726,059",0.22%
Mojave NPRES,102,"716,604",0.22%
Crater Lake NP,103,"711,749",0.22%
Theodore Roosevelt NP,104,"708,003",0.21%
Kings Canyon NP,105,"692,932",0.21%
Padre Island NS,106,"650,197",0.20%
Denali NP & PRES,107,"642,809",0.19%
Petrified Forest NP,108,"627,757",0.19%
Governors Island NM,109,"625,653",0.19%
Wind Cave NP,110,"619,924",0.19%
Mesa Verde NP,111,"613,788",0.19%
White Sands NP,112,"612,468",0.19%
Manassas NBP,113,"605,577",0.18%
Fort McHenry NM & HS,114,"591,861",0.18%
Mammoth Cave NP,115,"587,853",0.18%
"Martin Luther King, Jr. NHP",116,"584,435",0.18%
Fort Matanzas NM,117,"578,981",0.17%
Lowell NHP,118,"562,498",0.17%
Glacier Bay NP & PRES,119,"547,057",0.17%
Carlsbad Caverns NP,120,"520,026",0.16%
Lassen Volcanic NP,121,"507,256",0.15%
Pu'uhonua o Honaunau NHP,122,"505,735",0.15%
Devils Tower NM,123,"499,031",0.15%
Great Sand Dunes NP & PRES,124,"486,935",0.15%
Vicksburg NMP,125,"475,074",0.14%
Jean Lafitte NHP & PRES,126,"456,666",0.14%
Fire Island NS,127,"456,392",0.14%
Biscayne NP,128,"446,961",0.14%
Redwood NP,129,"445,000",0.13%
Big Bend NP,130,"440,276",0.13%
White House,131,"439,725",0.13%
Mississippi NRRA,132,"436,734",0.13%
Shiloh NMP,133,"435,107",0.13%
Wolf Trap NP for the Performing Arts,134,"424,364",0.13%
Wright Brothers NMEM,135,"414,244",0.13%
Boston African American NHS,136,"413,151",0.12%
Cape Lookout NS,137,"399,357",0.12%
Montezuma Castle NM,138,"398,174",0.12%
War in the Pacific NHP,139,"384,610",0.12%
Channel Islands NP,140,"383,687",0.12%
Colorado NM,141,"375,035",0.11%
Salem Maritime NHS,142,"373,630",0.11%
Little River Canyon NPRES,143,"367,058",0.11%
Antietam NB,144,"366,508",0.11%
Flight 93 NMEM,145,"364,082",0.11%
Fort Pulaski NM,146,"360,591",0.11%
Prince William Forest Park,147,"360,540",0.11%
Vanderbilt Mansion NHS,148,"360,436",0.11%
Guilford Courthouse NMP,149,"348,991",0.11%
Harpers Ferry NHP,150,"342,535",0.10%
Federal Hall NMEM,151,"325,497",0.10%
Fort Washington Park,152,"317,470",0.10%
Dinosaur NM,153,"315,859",0.10%
Paterson Great Falls NHP,154,"308,199",0.09%
Black Canyon of the Gunnison NP,155,"307,143",0.09%
Virgin Islands NP,156,"304,408",0.09%
Kenai Fjords NP,157,"303,598",0.09%
Little Bighorn Battlefield NM,158,"296,128",0.09%
Fort Necessity NB,159,"294,145",0.09%
Lewis & Clark NHP,160,"293,356",0.09%
Kings Mountain NMP,161,"291,841",0.09%
Craters of the Moon NM & PRES,162,"285,227",0.09%
LBJ Memorial Grove on the Potomac,163,"277,403",0.08%
Fort Raleigh NHS,164,"274,981",0.08%
Abraham Lincoln Birthplace NHP,165,"269,580",0.08%
Morristown NHP,166,"268,295",0.08%
San Juan Island NHP,167,"267,209",0.08%
Organ Pipe Cactus NM,168,"260,534",0.08%
Adams NHP,169,"255,562",0.08%
Upper Delaware S&RR,170,"253,537",0.08%
Fort Caroline NMEM,171,"243,960",0.07%
River Raisin NBP,172,"238,813",0.07%
Nez Perce NHP,173,"238,424",0.07%
Voyageurs NP,174,"237,250",0.07%
Wupatki NM,175,"236,454",0.07%
Catoctin Mountain Park,176,"236,243",0.07%
De Soto NMEM,177,"233,354",0.07%
Natchez NHP,178,"233,339",0.07%
Pinnacles NP,179,"233,334",0.07%
Lincoln Home NHS,180,"232,265",0.07%
Bighorn Canyon NRA,181,"231,836",0.07%
Stones River NB,182,"230,562",0.07%
Guadalupe Mountains NP,183,"225,257",0.07%
Richmond NBP,184,"224,014",0.07%
Obed W&SR,185,"214,783",0.06%
John Day Fossil Beds NM,186,"214,557",0.06%
Cowpens NB,187,"212,692",0.06%
Bandelier NM,188,"209,141",0.06%
Fort Donelson NB,189,"208,816",0.06%
Petersburg NB,190,"208,473",0.06%
Wilson's Creek NB,191,"206,346",0.06%
Apostle Islands NL,192,"203,421",0.06%
Allegheny Portage Railroad NHS,193,"201,837",0.06%
Kaloko Honokohau NHP,194,"196,857",0.06%
Sitka NHP,195,"194,880",0.06%
Fort Frederica NM,196,"188,089",0.06%
Home of Franklin D. Roosevelt NHS,197,"185,743",0.06%
Johnstown Flood NMEM,198,"171,376",0.05%
Big Thicket NPRES,199,"170,649",0.05%
Little Rock Central High School NHS,200,"170,413",0.05%
Theodore Roosevelt Island,201,"168,195",0.05%
Great Basin NP,202,"168,028",0.05%
New Bedford Whaling NHP,203,"166,894",0.05%
Walnut Canyon NM,204,"165,134",0.05%
El Malpais NM,205,"161,526",0.05%
Congaree NP,206,"159,595",0.05%
Ocmulgee Mounds NHP,207,"156,907",0.05%
Piscataway Park,208,"154,011",0.05%
Scotts Bluff NM,209,"152,560",0.05%
Pu'ukohola Heiau NHS,210,"147,259",0.04%
Lyndon B. Johnson NHP,211,"146,119",0.04%
Herbert Hoover NHS,212,"144,619",0.04%
Jewel Cave NM,213,"144,537",0.04%
Minuteman Missile NHS,214,"143,715",0.04%
Lincoln Boyhood NMEM,215,"143,651",0.04%
Fort Smith NHS,216,"141,914",0.04%
Greenbelt Park,217,"141,856",0.04%
Petroglyph NM,218,"141,803",0.04%
Lava Beds NM,219,"135,286",0.04%
Andersonville NHS,220,"132,149",0.04%
Coronado NMEM,221,"131,614",0.04%
City of Rocks NRES,222,"130,276",0.04%
Homestead NM of America,223,"123,400",0.04%
George Washington Birthplace NM,224,"122,457",0.04%
Pea Ridge NMP,225,"121,163",0.04%
Missouri NRR,226,"119,816",0.04%
Sunset Crater Volcano NM,227,"119,454",0.04%
Gauley River NRA,228,"118,733",0.04%
George Rogers Clark NHP,229,"117,268",0.04%
Manzanar NHS,230,"114,461",0.03%
Appomattox Court House NHP,231,"113,960",0.03%
Monocacy NB,232,"113,820",0.03%
Ninety Six NHS,233,"113,103",0.03%
Devils Postpile NM,234,"109,571",0.03%
Tuzigoot NM,235,"109,388",0.03%
Pennsylvania Avenue NHS,236,"108,716",0.03%
Rainbow Bridge NM,237,"108,418",0.03%
Natural Bridges NM,238,"107,443",0.03%
Fort Stanwix NM,239,"106,936",0.03%
Stonewall NM,240,"106,791",0.03%
Steamtown NHS,241,"103,956",0.03%
Waco Mammoth NM,242,"101,792",0.03%
Timpanogos Cave NM,243,"100,740",0.03%
Dayton Aviation Heritage NHP,244,"99,700",0.03%
Saratoga NHP,245,"97,781",0.03%
General Grant NMEM,246,"97,005",0.03%
Christiansted NHS,247,"96,779",0.03%
Grand Portage NM,248,"96,051",0.03%
Manhattan Project NHP,249,"89,599",0.03%
Moores Creek NB,250,"86,747",0.03%
Chamizal NMEM,251,"86,400",0.03%
Hamilton Grange NMEM,252,"85,603",0.03%
Perry's Victory & Intl. Peace MEM,253,"84,769",0.03%
Klondike Gold Rush NHP Seattle,254,"84,759",0.03%
Palo Alto Battlefield NHP,255,"84,361",0.03%
Roger Williams NMEM,256,"80,970",0.02%
Niobrara NSR,257,"80,806",0.02%
Gila Cliff Dwellings NM,258,"78,872",0.02%
Frederick Douglass NHS,259,"76,569",0.02%
Kalaupapa NHP,260,"76,512",0.02%
Pipestone NM,261,"76,486",0.02%
Casa Grande Ruins NM,262,"75,583",0.02%
Horseshoe Bend NMP,263,"74,255",0.02%
Carl Sandburg Home NHS,264,"72,777",0.02%
Oregon Caves NM & PRES,265,"72,212",0.02%
Florissant Fossil Beds NM,266,"71,763",0.02%
National Park of American Samoa,267,"69,468",0.02%
Navajo NM,268,"68,785",0.02%
Wrangell-St. Elias NP & PRES,269,"68,292",0.02%
Golden Spike NHP,270,"67,811",0.02%
Eleanor Roosevelt NHS,271,"67,621",0.02%
Effigy Mounds NM,272,"67,006",0.02%
Chiricahua NM,273,"63,132",0.02%
Hopewell Culture NHP,274,"62,413",0.02%
Women's Rights NHP,275,"61,806",0.02%
Fort Laramie NHS,276,"61,513",0.02%
Rosie The Riveter WWII Home Front NHP,277,"60,927",0.02%
Fort Davis NHS,278,"60,910",0.02%
Jimmy Carter NHS,279,"60,735",0.02%
Ulysses S. Grant NHS,280,"59,761",0.02%
Capulin Volcano NM,281,"59,615",0.02%
Thomas Edison NHP,282,"59,323",0.02%
El Morro NM,283,"59,013",0.02%
Chaco Culture NHP,284,"55,334",0.02%
Sagamore Hill NHS,285,"55,186",0.02%
Dry Tortugas NP,286,"54,281",0.02%
Andrew Johnson NHS,287,"53,998",0.02%
Charles Pinckney NHS,288,"53,744",0.02%
James A. Garfield NHS,289,"53,536",0.02%
Aztec Ruins NM,290,"52,756",0.02%
Cumberland Island NS,291,"51,937",0.02%
Longfellow House Washington's HQ NHS,292,"51,606",0.02%
Eisenhower NHS,293,"50,597",0.02%
Hopewell Furnace NHS,294,"49,306",0.01%
Whitman Mission NHS,295,"47,757",0.01%
John Muir NHS,296,"46,876",0.01%
Marsh-Billings-Rockefeller NHP,297,"46,523",0.01%
George Washington Carver NM,298,"46,466",0.01%
Tumacacori NHP,299,"46,308",0.01%
Hubbell Trading Post NHS,300,"45,800",0.01%
Harry S Truman NHS,301,"45,435",0.01%
African Burial Ground NM,302,"43,182",0.01%
Tonto NM,303,"40,898",0.01%
New Orleans Jazz NHP,304,"40,814",0.01%
Pecos NHP,305,"40,650",0.01%
Hovenweep NM,306,"39,970",0.01%
Friendship Hill NHS,307,"39,377",0.01%
Tuskegee Airmen NHS,308,"39,322",0.01%
Lake Chelan NRA,309,"38,464",0.01%
Weir Farm NHS,310,"38,096",0.01%
Katmai NP & PRES,311,"37,818",0.01%
Saint-Gaudens NHP,312,"37,556",0.01%
William Howard Taft NHS,313,"37,425",0.01%
Big Hole NB,314,"36,717",0.01%
Arkansas Post NMEM,315,"36,079",0.01%
Salinas Pueblo Missions NM,316,"35,148",0.01%
Buck Island Reef NM,317,"33,082",0.01%
Hampton NHS,318,"32,327",0.01%
Agate Fossil Beds NM,319,"32,038",0.01%
Bluestone NSR,320,"32,028",0.01%
Hagerman Fossil Beds NM,321,"31,122",0.01%
Tallgrass Prairie NPRES,322,"30,773",0.01%
John F. Kennedy NHS,323,"30,399",0.01%
North Cascades NP,324,"30,326",0.01%
Cane River Creole NHP,325,"30,117",0.01%
Fort Larned NHS,326,"29,188",0.01%
Pipe Spring NM,327,"29,065",0.01%
Fort Scott NHS,328,"28,948",0.01%
Theodore Roosevelt Inaugural NHS,329,"28,585",0.01%
Isle Royale NP,330,"28,196",0.01%
Bent's Old Fort NHS,331,"26,397",0.01%
Booker T. Washington NM,332,"25,479",0.01%
Brown v. Board of Education NHS,333,"25,204",0.01%
Springfield Armory NHS,334,"25,109",0.01%
Theodore Roosevelt Birthplace NHS,335,"24,884",0.01%
Russell Cave NM,336,"24,377",0.01%
Grant-Kohrs Ranch NHS,337,"24,072",0.01%
Lake Clark NP & PRES,338,"22,755",0.01%
Martin Van Buren NHS,339,"22,023",0.01%
Fossil Butte NM,340,"21,978",0.01%
Saint Paul's Church NHS,341,"21,190",0.01%
Tuskegee Institute NHS,342,"20,407",0.01%
Noatak NPRES,343,"17,000",0.01%
Keweenaw NHP,344,"16,479",0.00%
Kobuk Valley NP,345,"15,500",0.00%
Cesar E. Chavez NM,346,"15,472",0.00%
Cape Krusenstern NM,347,"15,000",0.00%
Edgar Allan Poe NHS,348,"14,878",0.00%
Fort Union Trading Post NHS,349,"13,329",0.00%
First Ladies NHS,350,"13,085",0.00%
Charles Young Buffalo Soldiers NM,351,"12,405",0.00%
Saugus Iron Works NHS,352,"12,256",0.00%
Saint Croix Island IHS,353,"11,872",0.00%
Washita Battlefield NHS,354,"11,831",0.00%
Fort Union NM,355,"11,676",0.00%
Knife River Indian Villages NHS,356,"11,644",0.00%
Minidoka NHS,357,"11,622",0.00%
Frederick Law Olmsted NHS,358,"11,388",0.00%
Gates of the Arctic NP & PRES,359,"11,177",0.00%
Belmont-Paul Women's Equality NM,360,"10,893",0.00%
Maggie L. Walker NHS,361,"10,738",0.00%
Salt River Bay NHP & Ecological Pres,362,"10,567",0.00%
Thomas Stone NHS,363,"10,250",0.00%
President W.J. Clinton Birthplace Home NHS,364,"10,177",0.00%
Fort Bowie NHS,365,"8,491",0.00%
Alibates Flint Quarries NM,366,"6,613",0.00%
Sand Creek Massacre NHS,367,"6,535",0.00%
Eugene O'Neill NHS,368,"3,931",0.00%
Nicodemus NHS,369,"2,916",0.00%
Bering Land Bridge NPRES,370,"2,642",0.00%
Thaddeus Kosciuszko NMEM,371,"2,293",0.00%
Carter G. Woodson Home NHS,372,"1,884",0.00%
Port Chicago Naval Magazine NMEM,373,"1,086",0.00%
Yukon-Charley Rivers NPRES,374,952,0.00%
Rio Grande W&SR,375,399,0.00%
Mary McLeod Bethune Council House NHS,376,277,0.00%
Aniakchak NM & PRES,377,100,0.00%
