,ParkName,State,Park,park
0,Acadia ,ME,Acadia NP,Acadia National Park
1,Arches ,UT,Arches NP,Arches National Park
2,Badlands ,SD,Badlands NP,Badlands National Park
3,Big Bend ,TX,Big Bend NP,Big Bend National Park
4,Biscayne ,FL,Biscayne NP,Biscayne National Park
5,Black Canyon of the Gunnison ,CO,Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park
6,Bryce Canyon ,UT,Bryce Canyon NP,Bryce Canyon National Park
7,Canyonlands ,UT,Canyonlands NP,Canyonlands National Park
8,Capitol Reef ,UT,Capitol Reef NP,Capitol Reef National Park
9,Carlsbad Caverns ,NM,Carlsbad Caverns NP,Carlsbad Caverns National Park
10,Channel Islands ,CA,Channel Islands NP,Channel Islands National Park
11,Congaree ,SC,Congaree NP,Congaree National Park
12,Crater Lake ,OR,Crater Lake NP,Crater Lake National Park
13,Cuyahoga Valley ,OH,Cuyahoga Valley NP,Cuyahoga Valley National Park
14,Death Valley ,CA,Death Valley NP,Death Valley National Park
15,Denali ,AK,Denali NP & PRES,Denali National Park
16,Dry Tortugas ,FL,Dry Tortugas NP,Dry Tortugas National Park
17,Everglades ,FL,Everglades NP,Everglades National Park
18,Gates of the Arctic ,AK,Gates of the Arctic NP & PRES,Gates of the Arctic National Park
19,Gateway Arch ,MO,Gateway Arch NP,Gateway Arch National Park
20,Glacier Bay ,AK,Glacier Bay NP & PRES,Glacier Bay National Park
21,Glacier ,MT,Glacier NP,Glacier National Park
22,Grand Canyon ,AZ,Grand Canyon NP,Grand Canyon National Park
23,Grand Teton ,WY,Grand Teton NP,Grand Teton National Park
24,Great Basin ,NV,Great Basin NP,Great Basin National Park
25,Great Sand Dunes ,CO,Great Sand Dunes NP & PRES,Great Sand Dunes National Park
26,Great Smoky Mountains ,TN,Great Smoky Mountains NP,Great Smoky Mountains National Park
27,Guadalupe Mountains ,TX,Guadalupe Mountains NP,Guadalupe Mountains National Park
28,Haleakala ,HI,Haleakala NP,Haleakala National Park
29,Hawaii Volcanoes ,HI,Hawaii Volcanoes NP,Hawaii Volcanoes National Park
30,Hot Springs ,AR,Hot Springs NP,Hot Springs National Park
31,Indiana Dunes ,IN,Indiana Dunes NP,Indiana Dunes National Park
32,Isle Royale ,MI,Isle Royale NP,Isle Royale National Park
33,Joshua Tree ,CA,Joshua Tree NP,Joshua Tree National Park
34,Katmai ,AK,Katmai NP & PRES,Katmai National Park
35,Kenai Fjords ,AK,Kenai Fjords NP,Kenai Fjords National Park
36,Kobuk Valley ,AK,Kobuk Valley NP,Kobuk Valley National Park
37,Lake Clark ,AK,Lake Clark NP & PRES,Lake Clark National Park
38,Lassen Volcanic ,CA,Lassen Volcanic NP,Lassen Volcanic National Park
39,Mammoth Cave ,KY,Mammoth Cave NP,Mammoth Cave National Park
40,Mesa Verde ,CO,Mesa Verde NP,Mesa Verde National Park
41,Mount Rainier ,WA,Mount Rainier NP,Mount Rainier National Park
42,National Park of American Samoa,AS,National Park of American Samoa,National Park of American SamoaNational Park
43,North Cascades ,WA,North Cascades NP,North Cascades National Park
44,Olympic ,WA,Olympic NP,Olympic National Park
45,Petrified Forest ,AZ,Petrified Forest NP,Petrified Forest National Park
46,Pinnacles ,CA,Pinnacles NP,Pinnacles National Park
47,Redwood ,CA,Redwood NP,Redwood National Park
48,Rocky Mountain ,CO,Rocky Mountain NP,Rocky Mountain National Park
49,Saguaro ,AZ,Saguaro NP,Saguaro National Park
50,Shenandoah ,VA,Shenandoah NP,Shenandoah National Park
51,Theodore Roosevelt ,ND,Theodore Roosevelt NP,Theodore Roosevelt National Park
52,Virgin Islands ,VI,Virgin Islands NP,Virgin Islands National Park
53,Voyageurs ,MN,Voyageurs NP,Voyageurs National Park
54,White Sands ,NM,White Sands NP,White Sands National Park
55,Wind Cave ,SD,Wind Cave NP,Wind Cave National Park
56,Wrangell-St. Elias ,AK,Wrangell-St. Elias NP & PRES,Wrangell-St. Elias National Park
57,Yellowstone ,WY,Yellowstone NP,Yellowstone National Park
58,Yosemite ,CA,Yosemite NP,Yosemite National Park
59,Zion ,UT,Zion NP,Zion National Park
60,Sequoia and Kings Canyon ,CA,Sequoia and Kings Canyon NP,Sequoia and Kings Canyon National Park
