,ParkName,State,park
0,Acadia ,ME,Acadia National Park
1,Arches ,UT,Arches National Park
2,Badlands ,SD,Badlands National Park
3,Big Bend ,TX,Big Bend National Park
4,Biscayne ,FL,Biscayne National Park
5,Black Canyon of the Gunnison ,CO,Black Canyon of the Gunnison National Park
6,Bryce Canyon ,UT,Bryce Canyon National Park
7,Canyonlands ,UT,Canyonlands National Park
8,Capitol Reef ,UT,Capitol Reef National Park
9,Carlsbad Caverns ,NM,Carlsbad Caverns National Park
10,Channel Islands ,CA,Channel Islands National Park
11,Congaree ,SC,Congaree National Park
12,Crater Lake ,OR,Crater Lake National Park
13,Cuyahoga Valley ,OH,Cuyahoga Valley National Park
14,Death Valley ,CA,Death Valley National Park
15,Denali ,AK,Denali National Park
16,Dry Tortugas ,FL,Dry Tortugas National Park
17,Everglades ,FL,Everglades National Park
18,Gates of the Arctic ,AK,Gates of the Arctic National Park
19,Gateway Arch ,MO,Gateway Arch National Park
20,Glacier Bay ,AK,Glacier Bay National Park
21,Glacier ,MT,Glacier National Park
22,Grand Canyon ,AZ,Grand Canyon National Park
23,Grand Teton ,WY,Grand Teton National Park
24,Great Basin ,NV,Great Basin National Park
25,Great Sand Dunes ,CO,Great Sand Dunes National Park
26,Great Smoky Mountains ,TN,Great Smoky Mountains National Park
27,Guadalupe Mountains ,TX,Guadalupe Mountains National Park
28,Haleakala ,HI,Haleakala National Park
29,Hawaii Volcanoes ,HI,Hawaii Volcanoes National Park
30,Hot Springs ,AR,Hot Springs National Park
31,Indiana Dunes ,IN,Indiana Dunes National Park
32,Isle Royale ,MI,Isle Royale National Park
33,Joshua Tree ,CA,Joshua Tree National Park
34,Katmai ,AK,Katmai National Park
35,Kenai Fjords ,AK,Kenai Fjords National Park
36,Kings Canyon ,CA,Kings Canyon National Park
37,Kobuk Valley ,AK,Kobuk Valley National Park
38,Lake Clark ,AK,Lake Clark National Park
39,Lassen Volcanic ,CA,Lassen Volcanic National Park
40,Mammoth Cave ,KY,Mammoth Cave National Park
41,Mesa Verde ,CO,Mesa Verde National Park
42,Mount Rainier ,WA,Mount Rainier National Park
43,National Park of American Samoa,AS,National Park of American SamoaNational Park
44,North Cascades ,WA,North Cascades National Park
45,Olympic ,WA,Olympic National Park
46,Petrified Forest ,AZ,Petrified Forest National Park
47,Pinnacles ,CA,Pinnacles National Park
48,Redwood ,CA,Redwood National Park
49,Rocky Mountain ,CO,Rocky Mountain National Park
50,Saguaro ,AZ,Saguaro National Park
51,Sequoia ,CA,Sequoia National Park
52,Shenandoah ,VA,Shenandoah National Park
53,Theodore Roosevelt ,ND,Theodore Roosevelt National Park
54,Virgin Islands ,VI,Virgin Islands National Park
55,Voyageurs ,MN,Voyageurs National Park
56,White Sands ,NM,White Sands National Park
57,Wind Cave ,SD,Wind Cave National Park
58,Wrangell-St. Elias ,AK,Wrangell-St. Elias National Park
59,Yellowstone ,WY,Yellowstone National Park
60,Yosemite ,CA,Yosemite National Park
61,Zion ,UT,Zion National Park
